Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library,is_included,party,coalition,is_personal_page,other_page
112183975526837,Muhyiddin Yassin,Mohd Ikhmal Abu Bakar,35623,12,yes,PN,PN,yes,
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,35240,26,yes,PAS,PN,yes,
1466006540330480,Shahril Hamdan,Shahril Hamdan,33288,17,yes,ummo,BN,yes,
126519450697836,Dr Halimah Ali,Dr Halimah Ali,32657,16,yes,PN,PN,yes,
138361272876308,马华公会,马华公会,31161,75,yes,MCA,BN,no,
107899287659414,Negeri Kita,Negeri Kita,30509,4546,no,,,no,probably
416587839184745,Negeri Sembilan Update ( N.S.U ),Negeri Sembilan Update ( N.S.U ),30213,4197,no,,,no,probably
304069066908775,Team TokMin,Team TokMin,30142,4074,yes,PKR,PH,yes,
150274412333441,Ana Tahu,Ana Tahu,29784,170,no,,,no,probably
1560866277543940,Dr Radzi Jidin,Era Baharu Putrajaya,29480,33,yes,PN,PN,yes,
1011160672261970,Parti Amanah Negara,AMANAH,29130,264,yes,AMANAH,PH,no,
100262819409856,Hasnizan Harun,Hasnizan Harun,27985,44,yes,PAS,PH,yes,
131870563493026,OHBULAN!,OHBULAN!,27752,260,no,,,no,
87363369882,Sinar Harian,Sinar Harian,26726,129,no,,,no,
121531764716236,Dato' Dr. Ahmad Yunus Hairi,Dato' Dr. Ahmad Yunus Hairi,26417,41,yes,PN,PN,yes,
318368621577316,Fadhli Shaari,Fadhli Shaari,25771,38,yes,PAS,PN,yes,
511562268982741,Dato' Syed Abu Hussin - Ahli Parlimen P059 Bukit Gantang,Dato' Syed Abu Hussin - Ahli Parlimen P059 Bukit Gantang,25281,77,yes,PN,PN,yes,
511188415592658,Dr. Fathul Bari,Dr. Fathul Bari,25261,17,yes,BN,BN,yes,
176612389069865,Hafez Sabri,Hafez Sabri,25016,58,yes,PN,PN,yes,
450309788374603,Aminuddin Yahaya,Aminuddin Yahaya,24822,35,yes,Pejuang,Pejuang,yes,
146956585431852,Afnan Hamimi Taib Azamudden,Afnan Hamimi Taib Azamudden,24439,26,yes,PN,PN,yes,
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS),23871,42,yes,PAS,PN,no,
324846571399982,Tan Sri M Ramasamy,Tan Sri M Ramasamy,23505,92,yes,BN,BN,yes,
1130669147012110,Syed Saddiq Syed Abdul Rahman,Syed Saddiq Syed Abdul Rahman,22616,47,yes,MUDA,PH,yes,
104583751158392,Pustaka Permata Ummah,Pustaka Permata Ummah,22193,20,no,,,no,
881712758830165,BERJASA Malaysia,BERJASA Malaysia,21763,22,yes,Pejuang,Pejuang,no,
101384989460744,Pakatan Sahabat,Vanity Maverick,19125,116,no,,,yes,
211591442051,Harian Metro,Rev Media Group,18707,31,no,,,,
101387829455160,GO2V,GO2V,18460,18,no,,,yes,
101948845952442,Amyleakainsedap,Evan Mcclarance Gundi Anak Kelvin Renggan,18368,25,,,,,
105478775690881,Support Deepak PRU15,Gwi Terk Chern,18041,35,,,,,
106163341355774,Akmal Nasir阿克玛,Akmal Nasir阿克玛,17820,37,,,,,
101439082646437,邱培栋,kotamelaka.com,17806,50,yes,DAP,PH,,
718939814829233,ViralMeletop,Gwi Terk Chern,17472,58,,,,,
106217881913074,Parti Bangsa Malaysia Rasmi,Mohd Zaihan Bin M Zainal,17465,65,,,,,
135729286825875,Hamzah Zainudin,Hamzah Zainudin Orang Kita,17368,94,,,,,
1744716682510050,Ustaz Aire Roslan - UAR,Muhammad Zahir Bin Mat Yunos,17176,56,,,,,
2212692808965420,蓝天 Lan Tian,蓝天 Lan Tian,16337,41,yes,MCA,BN,,
100262998566710,Perikatan Nasional Gombak,Perikatan Nasional Gombak,15967,34,,,,,
413417772151030,NH ONLINE,Nor Hamzie Bin Md Hambali,15772,155,,,,,
1437067599747900,Shaiful Hazizy Zainol Abidin - Tok Pon,Suhaimi Bin Che Noor,15242,109,,,,,
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,15052,26,,,,,
104263289104340,Inisiatif Selangor,Inisiatif Selangor,15025,845,,,,,
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,14757,17,yes,PAS,PN,,
217391881631388,SAYS,SAYS,14547,35,no,,,,
375796079616853,Ridhwan Ali,Mohd Ridhwan Bin Mohd Ali,14502,93,,,,,
150371651783435,Yeo Bee Yin（杨美盈）,Yeo Bee Yin,14375,29,yes,,,,
31373189944,Malaysiakini BM,FG Media Sdn Bhd,14263,43,no,,,,
100953840043211,Mohamad Sabu,AMANAH,14233,55,yes,AMANAH,PH,,
237678573165,Farique Zubir,Farique Zubir,13922,25,,,,,
130114577096206,刘镇东,DAP Malaysia,13557,17,yes,DAP,PH,,
622292127886490,Sarawak My Hometown 我来自砂拉越,Sarawak My Hometown 我来自砂拉越,13532,124,,,,,
1653824431566260,BNforMalaysia.com,These ads ran without a disclaimer,13348,5,,,,,
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,13272,102,,,,,
2091629871062810,Syed Abdul Razak Alsagoff,Syed Abdul Razak Alsagoff,13206,31,,,,,
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,12988,21,,,,,
103982948565334,Kluster Kayangan,Mohd Rais Bin Omar,12684,31,,,,,
104688308002388,陈昭宋 Cally Ting,陈昭宋 Cally Ting,12668,73,,,,,
108747195377052,I Love Sarawak,GPS Sarawak,12606,11,,,,,
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,12389,22,,,,,
200627917067197,Nengok TV,Melaka Plus,12223,34,,,,,
112918013453569,PAS Terengganu,PAS TERENGGANU,12147,25,yes,PAS,PN,,
107701342146047,Yeop Zainol for Teluk Intan,Zainol Fadzi,12010,104,,,,,
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,12007,11,,,,,
242385762996479,Che Alias Hamid,Che Alias Hamid,11950,22,,,,,
194176867658730,Chua Jian Boon 蔡建文,Jian Boon Chua,11652,22,,,,,
11726505964,Astro AWANI,Astro AWANI,11560,14,,,,,
103999858257844,Ustaz Mohd Noor Shahar,Ustaz Mohd Noor Shahar,11399,7,,,,,
1461030033961290,Persepsi Rakyat,Persepsi Rakyat,11350,438,,,,,
115531496522198,Ustaz Zamani Ibrahim,Ustaz Zamani Ibrahim,11212,18,,,,,
593529354077239,Akmal Nasir,Akmal Nasir,11154,49,,,,,
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,11085,19,,,,,
459834304085543,Lembah Jaya Sejahtera,Lembah Jaya Sejahtera,10497,13,,,,,
101068662491361,Ayub Ashri,Ayub Ashri,10489,24,,,,,
102389859349314,Nazrul Nazir,Shahidatul Aida Binti Mhd Said,10489,31,,,,,
100682875880155,Doctor's Voice,These ads ran without a disclaimer,10409,5,,,,,
166067163728164,Dr Sim Kui Hian,N14 Dr Sim Kui Hian,10373,38,,,,,
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,10224,62,,,,,
176524702365183,Gan Ping Sieu 颜炳寿 （Official Page）,MCA KLUANG,9824,12,,,,,
109246994982100,I Am DSSA,I Am DSSA,9670,27,,,,,
103577585842704,Selangor,Inisiatif Selangor,9570,766,,,,,
109281180558241,刘薏雯,刘薏雯,9551,21,,,,,
197799207237326,Pakatan Harapan,AMANAH,9514,24,yes,PH,PH,,
293098370815536,Mohd Rafiq Naizamohideen,Mohd Rafiq Bin Naizamohideen,9426,21,,,,,
333762569997423,Dato' Sri Tuan Ibrahim bin Tuan Man,Dato' Sri Tuan Ibrahim bin Tuan Man,9412,60,,,,,
163611310997367,Kubang Kerian Sejahtera,Kubang Kerian Sejahtera,9400,39,,,,,
100173982517485,MyUndi,MyUndi,9387,123,no,,,,
102136629894327,Greenpeace Malaysia,Greenpeace Malaysia Sdn Bhd,9341,131,,,,,
47298465905,Malaysiakini,FG Media Sdn Bhd,9309,31,no,,,,
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,9248,17,,,,,
2164630037156780,Adly Zahari,AMANAH,9178,64,yes,AMANAH,PH,,
517210464961612,刘华才博士,PGRM,9165,60,,,,,
1875700096018280,Tan Chee Hiong,Tan Chee Hiong,8924,39,,,,,
135856610910,Liew Chin Tong,DAP Malaysia,8778,11,yes,DAP,PH,,
643562522335339,KyoChon Malaysia,These ads ran without a disclaimer,8767,31,no,,,,
103883872539224,Ridhwan Rasman P156 Kota Tinggi,Umar Bin Abdul Aziz,8729,41,,,,,
289963741156793,We Fully Support BN 我们全力支持国阵,We Fully Support BN 我们全力支持国阵,8614,65,,,,,
1096348583725940,Lotsa Slots,These ads ran without a disclaimer,8592,1,,,,,
928874154117959,Azli Yusof,AMANAH,8575,55,yes,AMANAH,PH,,
907406112657476,Andi Suryady,Andi Suryady,8506,48,,,,,
479387615411779,Pemuda PAS Malaysia,Dewan Pemuda PAS Malaysia,8497,29,yes,PAS,PN,,
107047938456392,Jam2u.com,VIDARA SDN BHD,8467,84,,,,,
176159849754763,MCA,MCA,8361,12,,,,,
1792548424157240,Media Sungai Buloh P107,Media Sungai Buloh P107,8261,29,no,,,,
446352142470360,Ustaz Marzuk Shaary,Ahmad Marzuk Bin Shaary,8224,87,,,,,
1071860782942940,JohorPress,Sayefullah Bin Jasman,8171,30,,,,,
112432693935773,Datuk Jake Nointin official,Jia Jun Lee,8156,10,,,,,
102674541554461,Hj Nicholas Sylvester,Portal Mudah,8097,94,,,,,
38348181435,Khalid Samad,AMANAH,8085,53,yes,AMANAH,PH,,
401788663279891,Yayasan Sofa Negeri Sembilan,Yayasan Sofa,8033,3,,,,,
103650461352854,Persepsi Tambun,Ewan Shazwan,8013,62,,,,,
1726648214218420,Ustaz Muhammad Fawwaz Mohamad Jan,Ustaz Muhammad Fawwaz Mohamad Jan,7924,37,,,,,
282296091858802,Chan Foong Hin 陈泓缣,Chan Foong Hin 陈泓缣,7788,29,,,,,
647036338824906,Tan Chee Hiong 陈志雄,Tan Chee Hiong 陈志雄,7767,45,,,,,
103406462160763,Nat Market,VIDARA SDN BHD,7696,73,,,,,
70288410464,当今大马 (Malaysiakini Chinese Version),FG Media Sdn Bhd,7692,18,no,,,,
384090614928,Khoo Poay Tiong (邱培栋),DAP Malaysia,7642,19,yes,DAP,PH,,
623786861080075,Mohd Sharkar Shamsudin,Muhamad Khalid Bin Tan,7571,46,,,,,
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,7569,35,,,,,
101054022824710,Auzaie Fadzlan Shahidi,Parti Berjasa,7488,19,,,,,
106507455187996,Mohamad Kamal Mohamed,Mohamad Kamal Mohamed,7181,28,,,,,
109918387978015,沒有中間商賺差價,These ads ran without a disclaimer,7153,1,no,,,,
116724990063808,Chan Chun Kuang 陈俊广 - CK,Chan Chun Kuang,7151,24,,,,,
507702059311235,Ustazah Nuridah Mohd Salleh,Ustazah Nuridah Mohd Salleh,7146,19,,,,,
669791046367615,Malaysia Gazette,Malaysia Gazette,7118,107,no,,,,
242624549154600,Wong Kah Woh,DAP Taiping,7018,16,yes,DAP,PH,,
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS) Pusat,6792,32,yes,PAS,PN,,
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,6772,8,,,,,
446376772194584,宾果日报 Bingo Daily,Bingo Daily,6710,9,no,,,,
105659141272719,Azizul Julirn,Portal Mudah,6678,44,,,,,
429100183890772,邹宇晖,DAP MALAYSIA,6572,17,yes,DAP,PH,,
728606270519279,IPOH IPOH Ajerr,Abdul Rahim Bin Tahir,6521,2,,,,,
158435150866099,Teo Nie Ching (张念群),Teo Nie Ching (张念群),6515,22,,,,,
307834932588786,Ustaz Ahmad bin Yahaya,Ustaz Ahmad bin Yahaya,6506,25,,,,,
1042959342452830,Abang Halil Abang Naili,Parti Amanah Negara,6474,88,,,,,
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,6448,47,yes,ummo,BN,,
600367280109599,Harris Idaham Rashid Balik Pulau,Harris Idaham Rashid Balik Pulau,6438,45,,,,,
106406507828702,PSB P198 Puncak Borneo,PSB P198 Puncak Borneo,6402,37,,,,,
16194831839,Anwar Ibrahim,Anwar Ibrahim,6379,64,yes,PKR,PH,,
135289458465,NST Online,NST Online,6324,18,no,,,,
100887355844244,Zulfadli Zakariah,Zulfadli Zakariah,6224,17,,,,,
425695967637606,Sany Hamzan,AMANAH,6083,25,yes,AMANAH,PH,,
269301935826,ROTIKAYA,ROTIKAYA,6069,32,,,,,
106894858726624,Save the Children International,These ads ran without a disclaimer,5765,30,,,,,
102327579363068,Ustaz Annuar Salleh,Berjasa Malaysia,5757,7,,,,,
325279027989596,Cek Orang Kedah,Cek Orang Kedah,5603,10,,,,,
1726648214218420,Ustaz Muhammad Fawwaz Mohamad Jan,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,5599,9,,,,,
105510714351768,Razak Ridzuan Untuk Tasek Gelugor,Razak Ridzuan Untuk Tasek Gelugor,5517,21,,,,,
165772956766692,Idris Ahmad,Idris Ahmad,5479,28,,,,,
330601991112027,Ulya Husamudin,Ulya Husamudin,5467,16,,,,,
1395571097151960,Rakyat Sarawak Kini,Rakyat Sarawak Kini,5465,12,,,,,
92562929270,Hot FM,Hot FM,5420,6,no,,,,
457750270999884,Mahfuz Omar,Mahfuz Omar,5371,40,,,,,
105664024806971,Pandai2 Pilih,Pandai2 Pilih,5244,24,,,,,
524923837546004,Simon Ooi Tze Min,Simon Ooi Tze Min,5229,29,,,,,
135643903798815,Onn Hafiz Ghazi,Nur Hani Binti Ra'il,5063,25,,,,,
109792845262508,Zanariyah Abdul Hamid,Widanita Shahnaz Bt Mohd Mokhsin,5041,51,,,,,
299948990588837,Ghazali Md Hamin,Ghazali Md Hamin,5005,18,yes,PAS,PN,,
108722695160066,Haji Mohamed Diah,Haji Mohamed Diah,4957,42,,,,,
236402373940290,Syahredzan Johan,Syahredzan Johan,4873,36,,,,,
1007786915989460,Andansura Rabu,PAS DUN Beserah,4863,24,yes,PAS,PN,,
1648702528579930,Datuk Haji Ahmad Amzad Hashim,Datuk Haji Amzad Hashim,4832,13,,,,,
105214145429227,Nur Alya Humaira Usun,Portal Mudah,4830,45,,,,,
713221472043013,Fahmi Bazlan,Fahmi Bazlan,4818,28,,,,,
100611362742567,MEDIA POINT,MEDIA POINT,4813,34,no,,,,
1831844263787220,Ustaz Zukirnain Abdul Kadir P034 Setiu,Mohd Faris Ameir Bin Ibrahim,4742,143,,,,,
112371283921365,Hanif Jamaluddin,Hanif Jamaluddin,4729,5,,,,,
1842657632659380,Baljit Singh,Baljit Singh,4726,51,,,,,
101485844963978,Chiew Choon Man 赵俊文,PARTI KEADILAN RAKYAT,4681,11,yes,PKR,PH,,
102277369368571,Haji Noor Azman,Azahari Bin Azemi,4654,62,,,,,
103370205276465,Lee Kah Hing,Lee Kah Hing,4630,34,,,,,
464638120290369,Ustaz Abdullah Husin,Ustaz Abdullah Husin,4515,28,,,,,
107023271786947,Molek FM,Molek FM,4513,4,,,,,
202914883373859,Manivanan Gowin,G.Manivannan A/L Gowindasamy,4485,35,,,,,
457734577630461,Ustaz Ismi,Ustaz Ismi,4473,39,,,,,
204588107159019,Projek Imarah Masjid,These ads ran without a disclaimer,4413,10,,,,,
134350940016055,Ustaz Dr Nik Zawawi Bin Salleh,Ustaz Dr Nik Zawawi Bin Salleh,4388,30,,,,,
525165360893616,Perikatan Nasional Titiwangsa,Perikatan Nasional Titiwangsa,4343,20,,,,,
1038582476241560,Ustaz Mohamad Fakhrudin Abdul Aziz,Ihwan Amir,4340,12,,,,,
457592297643388,Ustaz Hamidi Abu Hassan,Ustaz Hamidi Abu Hassan,4329,17,,,,,
1787586611564530,Bukanaku,Bukanaku,4304,37,,,,,
157791694829873,Manndzri,Manndzri,4264,122,,,,,
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,4242,19,,,,,
102357915014766,Lim Wei Jiet,Lim Wei Jiet,4222,7,,,,,
105868265656326,Yee Tsai Yiew • 于在优,These ads ran without a disclaimer,4201,6,,,,,
220524935369705,Isham Jalil,Isham Jalil,4199,18,,,,,
112089495031484,Mejar Jeneral Datuk Khlir Mohd Nor,Zamzam Zainuddin,4177,10,,,,,
157894104408949,Zahida Zarik Khan,Nazrul Iqkhwan Bin Najib,4156,33,,,,,
477406562334039,Dr Daroyah Alwi,Mohd Zul Aqmar Bin Saman,4133,15,,,,,
101291341431976,Azril Sarit,Azril Rizal Yusof Bin Mohd Sarit,4115,59,,,,,
768435539896684,TVS,TVS,4109,51,,,,,
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,4094,63,yes,PKR,PH,,
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,4091,4,,,,,
102931825658951,Kebangkitan Kuala Selangor,Kebangkitan Kuala Selangor,4075,18,,,,,
102225645302483,Teman Asal Perak,Nurul Natasha Binti Badrul Hisham,4069,13,,,,,
536111496453168,Latif Bandi,Shakiren Bin Salleh Ismail,4045,11,,,,,
111966760286677,Nurul Amal Mohd Fauzi,Nurul Amal Mohd Fauzi,4033,30,,,,,
100671512835849,Jeffery Phang Siaw Foong 彭小菶,Jeffery Phang Siaw Foong,4025,59,,,,,
119716261393425,笑图俱乐部!!!保证笑死你,Ng Weng Thiam,4000,2,yes,BN,BN,,
135868173124026,羽軒粉絲團,Ng Weng Thiam,4000,2,yes,BN,BN,,
565488766825046,Hasbie Muda,AMANAH,3980,32,yes,AMANAH,PH,,
103741035747970,Masjid Kariah Bandar Perdana II,These ads ran without a disclaimer,3974,4,no,,,,
221096761346,Utusan Online,Media Mulia Sdn Bhd,3932,79,no,,,,
108152154939874,Wan Razali Wan Nor,Wan Razali Wan Nor,3928,16,,,,,
297830887404221,Manong Sejahtera,Manong Sejahtera,3911,37,,,,,
217285405008524,Wong Chen,Wong Chen,3887,8,,,,,
107211378784840,牛熊投资 - 得牛熊得天下,These ads ran without a disclaimer,3844,3,no,,,,
111620640684771,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,Dato' Indera Hj Mustaffar Kamal b Ab Hamid,3833,88,,,,,
508187419354203,Asmuni Awi,Amanah,3815,66,yes,AMANAH,PH,,
239023542869472,Salahuddin Ayub,AMANAH,3808,26,yes,AMANAH,PH,,
101779739413941,Hj. Shamsul Ma'arif Ismail,AMANAH,3785,27,yes,AMANAH,PH,,
102416408995926,Tahfiz Kebajikan Ar Razali,Tahfiz Kebajikan Ar Razali,3747,24,,,,,
105510714351768,Razak Ridzuan Untuk Tasek Gelugor,AMANAH,3742,22,yes,AMANAH,PH,,
639585376056020,Aiman Athirah Sabu,AMANAH,3739,28,yes,AMANAH,PH,,
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,3730,42,,,,,
1298058263542970,Setia Pak Mail,Setia Pak Mail,3728,26,,,,,
108712198614398,Hafizal Shah - Tok,Hafizal Shah - Tok,3673,14,,,,,
120324739939875,Jom Sihat,These ads ran without a disclaimer,3624,4,,,,,
48750023172,DATUK SERI HJ. MOHAMED KHALED NORDIN,Barisan Nasional Pasir Gudang,3602,12,yes,PAS,PN,,
106759504176841,Kajendran Doraisamy,Kajendran Doraisamy,3597,9,,,,,
371737160366,Sarawak Update,Abdul Hakim Bin Bujang,3532,18,,,,,
748135665373077,Karupaiya Mutusami,Parti Keadilan Rakyat,3498,82,yes,PKR,PH,,
166412166242,Saifuddin Abdullah,Saifuddin Abdullah,3481,40,,,,,
101499506110750,Cikgu Haji Rafiei Mustapha,Mahfuz Bin Roslan,3428,8,,,,,
112346154998937,Sahabat Rozi Mamat,Izham Bin Amiruddin,3422,17,,,,,
109629544854240,Harun Mohamed,AMANAH,3404,12,yes,AMANAH,PH,,
1684261028524640,Pusat Pengajian Ibnu Razak,Pusat Pengajian Ibnu Razak,3391,5,,,,,
109397945250592,Rumah Selangorku Cyberjaya,These ads ran without a disclaimer,3375,6,,,,,
102366124467442,KitaReporters.com,These ads ran without a disclaimer,3370,2,,,,,
2009793029271030,Syahir Sulaiman,Syahir Sulaiman,3353,8,,,,,
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,3351,5,,,,,
106765115432338,Kita Hulu Selangor,ASM Media,3349,82,,,,,
409798562536881,Ini Sabah Bah,Ini Sabah Bah,3344,68,,,,,
1585846288355820,Tan Chuan Hong 陈诠峰,Tan Chuan Hong 陈诠峰,3314,43,,,,,
109369361740547,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,3279,5,,,,,
470493726765993,Ustaz Meor M. Azim,Ustaz Meor M. Azim,3235,21,,,,,
1440798055978580,Warisan Anak Malaysia,Parti Warisan Sabah,3208,9,,,,,
680773332004673,Kapten,Mohd Azri Bin Rahamat,3199,56,,,,,
103211355844396,Nazari Mokhtar,Nazari Mokhtar,3194,33,,,,,
100808752258335,Haziq Asyraf,Haziq Asyraf,3186,18,,,,,
101577616088943,Haji Fadli Che Me,Mahfuz Bin Roslan,3065,9,,,,,
106433078866990,Jus Ceda Solusi Buasir,Amin Farhan Bin Azami,3025,8,,,,,
327277427664416,Nor Idayu Hashim,Nor Idayu Hashim,3010,5,,,,,
110633418047043,DARE,DARE,3000,2,,,,,
112498918946884,Haniza Talha,Ali Firdaus Bin Othman,2970,20,,,,,
164492150267814,Dewan Muslimat PAS Melaka,Dewan Muslimat PAS Melaka,2967,34,yes,PAS,PN,,
105849531564453,有间书馆,These ads ran without a disclaimer,2955,5,,,,,
100341686227949,Dato' Mohd Daud Nasir,Dato' Mohd Daud Nasir,2933,21,,,,,
101258662801377,TokMin 4 P132 Port Dickson,Ahmad Nazib Bin Ismail,2919,21,,,,,
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,2911,35,yes,PAS,PN,,
1601785636742840,Muhammad Faiz Fadzil,AMANAH,2901,20,yes,AMANAH,PH,,
151392065039297,Lim Ban Hong,Lim Ban Hong,2900,26,,,,,
104725831491509,Dato T. Murugiah,Murugiah A/l Thopasamy,2891,8,,,,,
103164978195601,Fadzli Kamal,Fadzli Bin Mohamad Kamal,2890,12,,,,,
102098359364995,Wan Badariah Official,Widanita Shahnaz Bt Mohd Mokhsin,2862,11,,,,,
573076292726648,Mas Ermieyati Samsudin,Mas Ermieyati Samsudin,2838,15,,,,,
429038187157498,Nicole Tan Lee Koon（陳麗群）,Nicole Tan Lee Koon,2830,12,,,,,
102687825969084,Mohamad Yahaya,AMANAH,2828,23,yes,AMANAH,PH,,
355049075348500,Oka空气净化机,These ads ran without a disclaimer,2773,4,no,,,,
114477580328465,PERIKATAN NASIONAL BERSATU GERIK,My District 76 Sdn Bhd,2773,26,,,,,
112336401483901,EXCommerce-Live,These ads ran without a disclaimer,2764,2,,,,,
211596962948306,Dr Ustazah Mastura,Dr Ustazah Siti Mastura binti Mohamad,2763,6,,,,,
199039390167044,Ameerah Malaysia,Ameerah Malaysia,2756,17,,,,,
1419575668348740,Gerakan Muafakat,Mohd Rais Bin Omar,2750,7,,,,,
102277369368571,Haji Noor Azman,Muhammad Zaid Bin Noor Azman,2734,12,,,,,
202159623191198,Kosmo Online,Kosmo Online,2725,62,,,,,
179950305417081,Dewan Muslimat PAS Malaysia - DMPM,Widanita Shahnaz Bt Mohd Mokhsin,2707,23,,,,,
104896005341659,Gagasan Bebas,Muhamamd Faiz Bin Kamaruddin,2706,7,,,,,
323440711827,Free Malaysia Today,Free Malaysia Today,2698,6,,,,,
274030749389323,Pusat Khidmat ADUN Selama,Pusat Khidmat ADUN Selama,2684,18,,,,,
106853461821165,Anuar Daud,Rafi'uddin Bin Kamaruddin,2656,45,,,,,
683300121730939,Cikgu Huda,AMANAH,2652,13,yes,AMANAH,PH,,
105095057904484,William Leong 梁自坚,Swee Sheun Lee,2641,15,,,,,
1772535526329040,Friends Of Selangor,Friends Of Selangor,2634,60,,,,,
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,2634,6,,,,,
515881535150989,Dr Dzulkefly Ahmad,AMANAH,2633,13,yes,AMANAH,PH,,
111439902378904,Ustaz Pathan Hussin,Ustaz Pathan Hussin,2619,27,,,,,
130325170489809,Dr Mohd Hatta Ramli,AMANAH,2583,18,yes,AMANAH,PH,,
276342006041537,Dr. Ahmad Termizi Ramli,AMANAH,2576,16,yes,AMANAH,PH,,
112376881579082,Penerangan BN Masjid Tanah,Mohd Faizullizam Zamani,2564,17,,,,,
104915965762423,Tabung Kompleks Pembangunan IREC,Muhammad Fakhrur Razi Al Hafiy,2558,5,,,,,
108713149189581,馬來西亞東方日報 Oriental Daily News Malaysia,馬來西亞東方日報 Oriental Daily News Malaysia,2555,30,,,,,
554422814647249,Husam Musa,Harapan,2555,27,,,,,
165445646863414,My Networks,These ads ran without a disclaimer,2554,3,,,,,
420621651310007,Dr Mujahid Yusof Rawa,AMANAH,2551,14,yes,AMANAH,PH,,
172896853380686,Adamelgabry,These ads ran without a disclaimer,2516,1,,,,,
104022039190536,Shahril Hamdan,These ads ran without a disclaimer,2491,2,,,,,
